Model,Dataset,Alpha,Direction,N,Follows Logic (%),False Premises (%),All True Premises (%),Avg Premises,Refuse (%)
gemma-2-9b-it,logical_deduction,10.0,yes,20,30.0,40.0,60.0,1.8,0.0
gemma-2-9b-it,logical_deduction,12.0,no,20,25.0,55.0,45.0,4.0,0.0
gemma-2-9b-it,logical_deduction,12.0,yes,20,60.0,75.0,25.0,1.8,0.0
gemma-2-9b-it,logical_deduction,14.0,no,17,35.3,70.6,29.4,4.8,0.0
gemma-2-9b-it,logical_deduction,14.0,yes,20,80.0,85.0,15.0,2.1,0.0
gemma-2-9b-it,logical_deduction,16.0,yes,14,78.6,92.9,7.1,1.6,0.0
gemma-2-9b-it,logical_deduction,18.0,yes,1,0.0,100.0,0.0,1.0,0.0
gemma-2-9b-it,social_chemistry,0.0,no,3,33.3,66.7,33.3,4.3,0.0
gemma-2-9b-it,social_chemistry,0.0,yes,3,33.3,0.0,100.0,3.0,0.0
gemma-2-9b-it,social_chemistry,2.0,no,20,35.0,50.0,50.0,1.9,0.0
gemma-2-9b-it,social_chemistry,2.0,yes,20,70.0,70.0,30.0,3.7,0.0
gemma-2-9b-it,social_chemistry,4.0,no,20,50.0,65.0,35.0,2.4,0.0
gemma-2-9b-it,social_chemistry,4.0,yes,20,50.0,90.0,10.0,5.8,0.0
gemma-2-9b-it,social_chemistry,6.0,no,20,40.0,70.0,30.0,2.4,0.0
gemma-2-9b-it,social_chemistry,6.0,yes,20,60.0,95.0,5.0,4.8,0.0
gemma-2-9b-it,social_chemistry,8.0,no,20,45.0,90.0,10.0,2.5,0.0
gemma-2-9b-it,social_chemistry,8.0,yes,2,50.0,100.0,0.0,3.5,0.0
gemma-2-9b-it,sports_understanding,0.0,no,2,0.0,0.0,100.0,2.5,0.0
gemma-2-9b-it,sports_understanding,0.0,yes,5,80.0,100.0,0.0,3.2,0.0
gemma-2-9b-it,sports_understanding,2.0,no,4,25.0,0.0,100.0,2.2,0.0
gemma-2-9b-it,sports_understanding,2.0,yes,9,66.7,66.7,33.3,2.6,0.0
gemma-2-9b-it,sports_understanding,4.0,no,6,16.7,33.3,66.7,3.2,0.0
gemma-2-9b-it,sports_understanding,4.0,yes,20,20.0,25.0,75.0,2.1,0.0
gemma-2-9b-it,sports_understanding,6.0,no,5,0.0,0.0,100.0,3.2,0.0
gemma-2-9b-it,sports_understanding,6.0,yes,20,10.0,5.0,95.0,2.1,0.0
gemma-2-9b-it,sports_understanding,8.0,no,7,28.6,28.6,71.4,2.9,0.0
gemma-2-9b-it,sports_understanding,8.0,yes,20,0.0,15.0,85.0,2.4,0.0
gemma-2-9b-it,sports_understanding,10.0,no,1,0.0,0.0,100.0,2.0,0.0
gemma-2-9b-it,sports_understanding,10.0,yes,20,15.0,40.0,60.0,2.6,0.0
gemma-2-9b-it,sports_understanding,12.0,yes,20,0.0,20.0,80.0,1.1,35.0
